Election,Precinct,TOTPOP,NH_WHITE,NH_BLACK,NH_ASIAN,HISP,num_black,num_white,num_asian,num_hispanic,num_undetermined,black_avail,white_avail,asian_avail,hisp_avail,black_thresh,white_thresh,asian_thresh,hispanic_thresh,How many surpass?
MY14,333,3506,205,452,645,2088,1,3,1,0,0,6,6,3,0,Doesn't Surpass,Doesn't Surpass,Surpasses,Surpasses,2
MY14,334,2223,208,387,470,1114,1,3,1,0,0,6,6,3,0,Surpasses,Doesn't Surpass,Surpasses,Surpasses,3
MY14,335,4400,363,265,457,3230,0,4,1,0,0,6,6,3,0,Doesn't Surpass,Doesn't Surpass,Doesn't Surpass,Surpasses,1
MY14,336,2560,329,322,208,1636,0,4,1,0,0,6,6,3,0,Doesn't Surpass,Doesn't Surpass,Doesn't Surpass,Surpasses,1
MY14,337,1301,8,384,83,800,1,3,1,0,0,6,6,3,0,Surpasses,Doesn't Surpass,Doesn't Surpass,Surpasses,2
MY14,338,2606,79,1443,283,688,1,3,1,0,0,6,6,3,0,Surpasses,Doesn't Surpass,Doesn't Surpass,Surpasses,2
MY14,339,1640,28,468,39,1060,1,3,1,0,0,6,6,3,0,Surpasses,Doesn't Surpass,Doesn't Surpass,Surpasses,2
MY14,340,3213,66,1024,81,1924,1,3,1,0,0,6,6,3,0,Surpasses,Doesn't Surpass,Doesn't Surpass,Surpasses,2
MY14,341,1640,49,416,141,988,1,3,1,0,0,6,6,3,0,Surpasses,Doesn't Surpass,Doesn't Surpass,Surpasses,2
MY14,342,3665,119,1320,214,1871,1,3,1,0,0,6,6,3,0,Surpasses,Doesn't Surpass,Doesn't Surpass,Surpasses,2
MY14,343,2148,69,842,100,1066,1,3,1,0,0,6,6,3,0,Surpasses,Doesn't Surpass,Doesn't Surpass,Surpasses,2
MY14,344,1464,35,403,117,866,1,3,1,0,0,6,6,3,0,Surpasses,Doesn't Surpass,Doesn't Surpass,Surpasses,2
MY14,345,1943,45,985,46,831,1,3,1,0,0,6,6,3,0,Surpasses,Doesn't Surpass,Doesn't Surpass,Surpasses,2
MY14,346,1210,167,653,73,248,1,3,1,0,0,6,6,3,0,Surpasses,Doesn't Surpass,Doesn't Surpass,Surpasses,2
MY14,347,1239,366,568,104,138,0,4,1,0,0,6,6,3,0,Surpasses,Surpasses,Doesn't Surpass,Doesn't Surpass,2
MY14,348,1139,280,588,92,116,1,3,1,0,0,6,6,3,0,Surpasses,Surpasses,Doesn't Surpass,Doesn't Surpass,2
MY14,349,1312,125,741,48,356,1,3,1,0,0,6,6,3,0,Surpasses,Doesn't Surpass,Doesn't Surpass,Surpasses,2
MY14,350,2878,78,1405,131,1140,1,3,1,0,0,6,6,3,0,Surpasses,Doesn't Surpass,Doesn't Surpass,Surpasses,2
MY14,351,2960,58,1248,112,1453,1,3,1,0,0,6,6,3,0,Surpasses,Doesn't Surpass,Doesn't Surpass,Surpasses,2
MY14,352,1531,42,659,41,707,1,3,1,0,0,6,6,3,0,Surpasses,Doesn't Surpass,Doesn't Surpass,Surpasses,2
MY14,353,3441,59,1606,62,1556,1,3,1,0,0,6,6,3,0,Surpasses,Doesn't Surpass,Doesn't Surpass,Surpasses,2
MY14,354,2815,84,1373,85,1138,1,3,1,0,0,6,6,3,0,Surpasses,Doesn't Surpass,Doesn't Surpass,Surpasses,2
MY14,355,1330,750,216,231,69,0,4,1,0,0,6,6,3,0,Doesn't Surpass,Surpasses,Surpasses,Doesn't Surpass,2
